SrNo,PreheatingZone,HeatingZone1,HeatingZone2,SockingZone,FuelType,AirFuelRatio,GasConsumption
1,454,614,695,1058,0,10,1668.525
2,454,635,719,1050,0,10,1779.862
3,454,621,694,1042,0,10,1693.494
4,454,621,707,1062,0,10,1722.794
5,454,626,719,1046,0,10,1740.976
6,455,619,695,1039,0,10,1712.418
7,455,632,718,1051,0,10,1794.706
8,456,630,704,1059,0,10,1763.686
9,456,611,705,1040,0,10,1689.618
10,457,627,714,1052,0,10,1782.316
11,457,618,714,1053,0,10,1719.612
12,457,623,702,1065,0,10,1730.993
13,457,618,707,1044,0,10,1718.304
14,458,624,704,1046,0,10,1709.786
15,458,617,693,1032,0,10,1790.000
16,458,618,704,1039,0,10,1820.000
17,450,621,700,1045,0,10,1850.000
18,450,606,704,1042,0,10,1890.000
19,451,621,696,1043,0,10,1920.000
20,452,623,710,1045,0,10,1960.000
21,452,631,710,1053,0,10,1950.000
22,450,620,709,1055,0,10,1965.000
23,450,618,700,1047,0,10,1970.000
24,450,619,711,1054,0,10,1962.000
